Date,Open,High,Low,Close,Adj Close,Volume
2000-01-01,0.936384,1.004464,0.848214,0.888393,0.752113,3055203200
2000-01-08,0.910714,0.912946,0.772321,0.896763,0.759199,3345742400
2000-01-15,0.901786,1.084821,0.896763,0.993862,0.841403,3383878400
2000-01-22,0.968192,1.019531,0.898438,0.907366,0.768176,2068673600
2000-01-29,0.901786,0.982143,0.843750,0.964286,0.816364,2384424000
2000-02-05,0.964286,1.045759,0.945871,0.970982,0.822033,1664308800
2000-02-12,0.976004,1.070871,0.969866,0.993304,0.840931,1754468800
2000-02-19,0.983259,1.063616,0.952567,0.985491,0.834316,1520971200
2000-02-26,0.983259,1.179129,0.967634,1.142857,0.967542,2408918400
2000-03-04,1.125000,1.152902,1.055804,1.122768,0.950535,1280126400
2000-03-11,1.090402,1.129464,1.017857,1.116071,0.944865,1859289600
2000-03-18,1.102679,1.342634,1.085938,1.238281,1.048328,2306292800
2000-03-25,1.228795,1.292411,1.119978,1.212612,1.026597,1541019200
2000-04-01,1.209821,1.245536,1.042411,1.176339,0.995888,1948620800
2000-04-08,1.175781,1.185268,0.936384,0.998884,0.845655,2892668800
2000-04-15,0.977679,1.162946,0.973772,1.061384,0.898567,2042756800
2000-04-22,1.026786,1.149554,1.024554,1.107701,0.937779,1778358400
2000-04-29,1.114955,1.127232,0.987165,1.010045,0.855104,1636017600
2000-05-06,1.000837,1.015067,0.881696,0.960938,0.813530,1853790400
2000-05-13,0.964844,0.973772,0.833705,0.839286,0.710539,2631921600
2000-05-20,0.837054,0.837054,0.741071,0.771205,0.652902,2539454400
2000-05-27,0.782366,0.890625,0.717634,0.826451,0.699673,2843254400
2000-06-03,0.833147,0.879464,0.800781,0.854911,0.723767,1677054400
2000-06-10,0.860491,0.861049,0.787388,0.814174,0.689279,1471377600
2000-06-17,0.808594,1.029018,0.801897,0.922991,0.781404,2058072800
2000-06-24,0.937500,0.991071,0.911830,0.935268,0.791797,1202012000
2000-07-01,0.930804,0.985491,0.886161,0.972098,0.822978,909193600
2000-07-08,0.965960,1.082589,0.959821,1.030134,0.872111,1617061600
2000-07-15,1.040179,1.051339,0.924107,0.956473,0.809750,1698088000
2000-07-22,0.938616,0.950893,0.837054,0.862723,0.730381,1367128000
2000-07-29,0.877790,0.921875,0.790179,0.845982,0.716208,1057957600
2000-08-05,0.854911,0.876116,0.813616,0.851563,0.720933,1233433600
2000-08-12,0.849888,0.936384,0.827009,0.892857,0.755892,875610400
2000-08-19,0.897321,1.026786,0.886161,1.014509,0.858883,1293359200
2000-08-26,1.022321,1.136161,1.018973,1.132813,0.959039,1587896800
2000-09-02,1.118862,1.145089,1.031250,1.051339,0.890063,1067029600
2000-09-09,1.047991,1.078125,0.968750,0.986328,0.835025,1502429600
2000-09-16,0.986607,1.097098,0.892857,0.931920,0.788963,2160625600
2000-09-23,0.941964,0.991071,0.453125,0.459821,0.389284,9529973600
2000-09-30,0.476563,0.477679,0.375000,0.396205,0.335427,7414596000
2000-10-07,0.404018,0.408482,0.341518,0.393973,0.333537,4925905600
2000-10-14,0.398438,0.415179,0.327009,0.348214,0.294798,4554149600
2000-10-21,0.361886,0.372768,0.312500,0.331473,0.280625,3486067200
2000-10-28,0.341518,0.410714,0.334821,0.397321,0.336372,3206952000
2000-11-04,0.400670,0.404018,0.340402,0.340402,0.288184,2016616000
2000-11-11,0.334821,0.366071,0.325893,0.330357,0.279680,1808727200
2000-11-18,0.332031,0.348214,0.325893,0.344866,0.291963,1151483200
2000-11-25,0.354911,0.356027,0.287946,0.304688,0.257949,2215371200
2000-12-02,0.306920,0.311384,0.250000,0.268973,0.227712,3204504800
2000-12-09,0.271205,0.285714,0.250000,0.251116,0.212595,1840921600
2000-12-16,0.260045,0.272321,0.243304,0.267857,0.226768,1950043200
2000-12-23,0.265625,0.267857,0.253348,0.265625,0.224878,1477795200
2000-12-30,0.265625,0.330357,0.257813,0.292411,0.247555,2421137600
2001-01-06,0.302455,0.330357,0.284598,0.306920,0.259838,2770521600
2001-01-13,0.311384,0.349330,0.294643,0.348214,0.294798,3150666400
2001-01-20,0.340402,0.373884,0.329241,0.349330,0.295743,3088478400
2001-01-27,0.349330,0.401786,0.349330,0.368304,0.311806,3075693600
2001-02-03,0.366071,0.381975,0.333705,0.341518,0.289129,2336924800
2001-02-10,0.340402,0.367188,0.330357,0.339286,0.287239,1395637600
2001-02-17,0.342634,0.356027,0.321429,0.335938,0.284405,1430979200
2001-02-24,0.340402,0.364955,0.306920,0.343750,0.291019,1799851200
2001-03-03,0.345982,0.393973,0.343750,0.361607,0.306136,1979510400
2001-03-10,0.351563,0.381696,0.323661,0.350446,0.296687,2311758400
2001-03-17,0.352679,0.420759,0.345982,0.410714,0.347710,2894780000
2001-03-24,0.413036,0.424107,0.377321,0.394107,0.333651,2876350400
2001-03-31,0.394464,0.404643,0.334821,0.367679,0.311277,2166735200
2001-04-07,0.369464,0.411071,0.358214,0.400357,0.338942,1356986400
2001-04-14,0.394464,0.459821,0.350000,0.447143,0.378551,4638340000
2001-04-21,0.434643,0.469464,0.419821,0.467857,0.396087,2502152800
2001-04-28,0.476786,0.484286,0.427857,0.459821,0.389284,1873149600
2001-05-05,0.457500,0.460000,0.406429,0.408036,0.345443,1408898400
2001-05-12,0.408750,0.455357,0.406250,0.420179,0.355723,1359747200
2001-05-19,0.421964,0.430893,0.401786,0.406429,0.344083,1585455200
2001-05-26,0.398571,0.401786,0.344643,0.373036,0.315812,2192036000
2001-06-02,0.376429,0.387500,0.363036,0.380714,0.322312,1644697600
2001-06-09,0.375893,0.388036,0.345536,0.365000,0.309009,1861255200
2001-06-16,0.364464,0.410714,0.356786,0.397500,0.336523,1725976000
2001-06-23,0.401786,0.448214,0.400893,0.415179,0.351490,1950261600
2001-06-30,0.422143,0.432679,0.387857,0.393393,0.333046,797804000
2001-07-07,0.394464,0.446607,0.372143,0.443750,0.375679,2272788000
2001-07-14,0.444286,0.450357,0.348036,0.356786,0.302055,3369234400
2001-07-21,0.358750,0.366071,0.318750,0.338571,0.286634,1736890400
2001-07-28,0.341429,0.355357,0.330536,0.348214,0.294798,1220665600
2001-08-04,0.340000,0.351786,0.331071,0.339643,0.287542,931996800
2001-08-11,0.341071,0.345714,0.320893,0.322679,0.273180,1162744800
2001-08-18,0.323929,0.332500,0.313929,0.331607,0.280738,1119389600
2001-08-25,0.332143,0.344643,0.308571,0.331250,0.280436,1172948000
2001-09-01,0.330357,0.340714,0.307143,0.308571,0.261236,1232470400
2001-09-08,0.303571,0.312500,0.302143,0.310179,0.262597,308845600
2001-09-15,0.285714,0.316429,0.262143,0.280893,0.237804,2140118400
2001-09-22,0.287679,0.300714,0.266607,0.276964,0.234478,1850088800
2001-09-29,0.276607,0.290179,0.264821,0.288214,0.244002,1870943200
2001-10-06,0.278036,0.322857,0.276786,0.321607,0.272272,1311744000
2001-10-13,0.320536,0.328750,0.302857,0.326786,0.276657,1586603200
2001-10-20,0.325179,0.346786,0.316964,0.333393,0.282250,1985261600
2001-10-27,0.331607,0.336786,0.304643,0.331607,0.280738,1299894400
2001-11-03,0.336429,0.359464,0.330893,0.334107,0.282855,1411239200
2001-11-10,0.333214,0.355357,0.320714,0.338750,0.286786,1091014400
2001-11-17,0.339286,0.360714,0.338571,0.354286,0.299938,870760800
2001-11-24,0.356071,0.384821,0.355000,0.380357,0.322010,1486531200
2001-12-01,0.376071,0.429107,0.367857,0.402500,0.340756,1672613600
2001-12-08,0.398036,0.410536,0.358750,0.364107,0.308253,955673600
2001-12-15,0.364286,0.387143,0.360536,0.375000,0.317475,1176106400
2001-12-22,0.373214,0.410714,0.373214,0.400536,0.339094,687663200
2001-12-29,0.401964,0.427679,0.389821,0.423036,0.358142,1689262400
2002-01-05,0.423571,0.428571,0.361607,0.375893,0.318231,2023996800
2002-01-12,0.375179,0.406071,0.366071,0.395893,0.335163,2272597600
2002-01-19,0.397679,0.419821,0.385536,0.415179,0.351490,1300510400
2002-01-26,0.417857,0.445714,0.405714,0.435893,0.369027,1765097600
2002-02-02,0.434286,0.463929,0.417321,0.429107,0.363282,2280000800
2002-02-09,0.427321,0.450714,0.423929,0.426786,0.361317,1456112000
2002-02-16,0.424286,0.426250,0.383036,0.406071,0.343780,1528928800
2002-02-23,0.408036,0.441429,0.373929,0.418750,0.354514,2523068800
2002-03-02,0.415357,0.448036,0.406429,0.440357,0.372806,1377191200
2002-03-09,0.439286,0.448929,0.426250,0.445536,0.377191,1175804000
2002-03-16,0.445536,0.451786,0.415357,0.430179,0.364189,1659767200
2002-03-23,0.429821,0.430179,0.410714,0.422679,0.357840,756828800
2002-03-30,0.417500,0.449821,0.415714,0.441786,0.374016,1234217600
2002-04-06,0.431429,0.450000,0.424643,0.447500,0.378853,1405521600
2002-04-13,0.447500,0.467321,0.442857,0.446071,0.377643,2087316000
2002-04-20,0.443571,0.445179,0.410714,0.410893,0.347862,1142528800
2002-04-27,0.413571,0.435357,0.412321,0.419821,0.355420,1238081600
2002-05-04,0.416964,0.437857,0.395357,0.416429,0.352549,1389108000
2002-05-11,0.420000,0.463929,0.409643,0.446607,0.378097,1591486400
2002-05-18,0.438750,0.450714,0.416429,0.431250,0.365096,1377353600
2002-05-25,0.423036,0.436429,0.415714,0.416071,0.352246,933380000
2002-06-01,0.417679,0.418750,0.373750,0.382143,0.323522,1732388000
2002-06-08,0.383571,0.390000,0.323393,0.358929,0.303869,1932772800
2002-06-15,0.361429,0.368393,0.299821,0.300893,0.254736,3229251200
2002-06-22,0.299464,0.318214,0.285357,0.316429,0.267889,1813604800
2002-06-29,0.316250,0.334821,0.299107,0.334643,0.283309,888557600
2002-07-06,0.330714,0.335536,0.303036,0.312679,0.264714,1462003200
2002-07-13,0.311250,0.332143,0.259464,0.267143,0.226163,2902916800
2002-07-20,0.263393,0.271786,0.246429,0.256071,0.216790,1924440000
2002-07-27,0.258571,0.276964,0.254464,0.258036,0.218453,1348513600
2002-08-03,0.259107,0.274643,0.249464,0.267857,0.226768,1242617600
2002-08-10,0.266071,0.287500,0.259643,0.282321,0.239013,1416021600
2002-08-17,0.281786,0.290179,0.275893,0.280893,0.237804,1027168800
2002-08-24,0.284821,0.284821,0.259107,0.263393,0.222988,1057862400
2002-08-31,0.258750,0.263929,0.250893,0.256786,0.217395,1105367200
2002-09-07,0.255000,0.260714,0.250893,0.253036,0.214220,1162907200
2002-09-14,0.252500,0.269464,0.252143,0.265536,0.224803,1602014400
2002-09-21,0.263571,0.271250,0.257143,0.262857,0.222535,1183851200
2002-09-28,0.257143,0.261250,0.249821,0.250536,0.212104,1218190400
2002-10-05,0.249464,0.263929,0.238571,0.259107,0.219360,1671280800
2002-10-12,0.259821,0.272321,0.248214,0.256071,0.216790,1665143200
2002-10-19,0.254643,0.275893,0.250000,0.275357,0.233117,1119524000
2002-10-26,0.277679,0.294643,0.267143,0.292143,0.247328,1364820800
2002-11-02,0.294643,0.310357,0.277143,0.282857,0.239467,1330145600
2002-11-09,0.281071,0.293036,0.270000,0.284821,0.241129,911215200
2002-11-16,0.289107,0.293571,0.268036,0.285893,0.242037,1230611200
2002-11-23,0.286250,0.288214,0.272679,0.276786,0.234327,869920800
